1481406354
task	R	T	Offset	priority	allocation
40	0.152	2	0	4	1
41	0.031	1	0	0	1
42	0.655	10	0	10	0
43	9.65	50	0	25	1
44	0.342	10	0	10	2
45	0.416	10	0	11	2
46	33.4	200	0.655	33	1
47	5.38	50	0.416	20	0
48	2.29	20	0	15	1
49	179	1000	33.2	38	1
50	7.4	50	0	18	2
51	12.6	200	0.655	19	2
52	0.0846	2	0	3	2
53	0.673	10	0	11	0
54	117	400	0.148	36	1
55	0.212	2	0	3	0
56	337	1000	0	36	0
57	0.306	5	0	6	2
58	0.00347	1	0	0	2
59	17.8	200	0	32	1
60	144	500	0	37	1
61	0.313	4	0	7	1
62	0.195	2	0	5	1
63	4.52	40	0	19	1
64	217	500	144	27	0
65	6.7	40	0	21	1
66	1.39	10	0	13	1
67	0.311	5	0	7	2
68	0.141	2	0	4	2
69	0.844	10	0	12	1
70	0.134	1	0	2	0
71	1.43	10	0	14	1
72	4.66	40	0	17	2
73	15.6	100	0	29	1
74	0.327	5	0	8	2
75	0.766	5	0	10	1
76	0.4	4	0	8	1
77	2.96	20	0	18	1
78	0.513	20	0	12	2
79	1.8	40	0	16	2
80	0.148	4	0	5	2
81	0.342	5	0	9	2
82	1.46	40	0.152	15	2
83	12.8	50	0	26	1
84	13.1	50	0	27	1
85	2.13	10	1.46	12	0
86	18.8	20	17.8	13	2
87	417	1000	17.8	37	0
88	32.4	100	17.8	23	0
89	150	1000	0	31	0
90	9.28	40	0	22	1
91	1.07	2	0.844	4	0
92	9.49	40	0	23	1
93	0.0347	2	0	1	2
94	69.9	400	0	35	1
95	1.16	40	0	14	0
96	0.256	2	0	6	1
97	9.65	40	0	24	1
98	97.3	500	0	30	0
99	69	400	1.2	34	1
----------------------------------------
1481406359
task	R	T	Offset	priority	allocation
0	6.92	40	0	27	0
1	7.13	40	0	28	0
2	140	400	0.248	40	0
3	0.351	4	0	7	0
4	0.601	20	0	6	2
5	0.352	10	0	7	1
6	13.2	400	0.639	10	2
7	268	1000	9.72	35	1
8	3.67	40	0	14	1
9	0.792	20	0	9	1
10	32.4	200	0	26	1
11	19.7	50	13.2	19	1
12	0.744	5	0	12	0
13	0.0949	2	0	5	0
14	268	1000	0.101	36	1
15	85	400	32.4	36	0
16	4.42	5	3.67	13	0
17	0.384	4	0	8	0
18	0.0335	1	0	0	0
19	2.23	20	0	19	0
20	0.159	4	0	6	0
21	0.0577	2	0	2	1
22	0.544	4	0	9	0
23	0.0587	2	0	3	1
24	3.92	40	0	25	0
25	91.8	400	0	38	0
26	17.1	100	0	35	0
27	27.4	200	17.1	9	2
28	2.53	20	0	21	0
29	1.16	10	0	15	0
30	7.98	40	0.792	29	0
31	146	500	0	42	0
32	9.72	50	0	34	0
33	145	500	0	31	1
34	5.5	50	0	18	1
35	1.38	10	0	16	0
36	7.37	40	0	31	0
37	271	1000	33.2	47	0
38	54.3	400	0	37	0
39	1.61	5	1.38	6	1
40	0.0338	1	0	0	1
41	1.98	10	0	17	0
42	6.86	50	0	20	1
43	7.58	50	0	21	1
44	0.109	2	0	2	2
45	9.91	100	0	22	1
46	4.88	40	0	26	0
47	227	1000	0	46	0
48	150	500	9.91	41	0
49	0.0387	1	0	1	0
50	2.43	20	0	20	0
51	0.0204	1	0	0	2
52	1.16	20	0	10	1
53	7.63	40	0	32	0
54	2.98	20	0	22	0
55	145	400	12.8	39	0
56	159	500	0	44	0
57	2.08	40	0	12	1
58	2.97	40	0	13	1
59	0.103	4	0	4	1
60	46.3	400	0	28	1
61	62	400	0	29	1
62	0.0563	1	0	2	0
63	0.165	4	0	3	2
64	0.58	4	0	10	0
65	12.8	100	0	23	1
66	0.12	4	0	5	1
67	45.9	1000	2.08	12	2
68	134	400	0	30	1
69	2.82	200	0	8	2
70	3.1	20	0	23	0
71	9.67	40	0	33	0
72	2.18	10	0.0204	18	0
73	157	500	0	43	0
74	1.34	20	0	11	1
75	36.6	200	0.746	27	1
76	0.796	50	0	7	2
77	3.69	20	0	24	0
78	7.93	40	2.98	15	1
79	8.31	40	2.98	16	1
80	193	500	0	32	1
81	7.29	40	0	30	0
82	217	500	0	45	0
83	3.93	5	3.69	5	2
84	280	1000	0.384	37	1
85	14.5	100	0	24	1
86	0.0433	1	0	1	1
87	0.543	10	0	8	1
88	0.965	4	0.792	4	2
89	193	500	0	33	1
90	26.2	100	0	25	1
91	394	500	157	34	1
92	30.8	500	2.23	11	2
93	65.1	1000	2.23	13	2
94	0.101	1	0	1	2
95	0.749	5	0	14	0
96	10.3	40	4.88	17	1
97	0.0589	1	0	3	0
98	0.0854	2	0	4	0
99	0.639	5	0	11	0
----------------------------------------
1481406361
task	R	T	Offset	priority	allocation
0	0.112	4	0	3	2
1	3.23	40	0	13	2
2	6.07	40	3.23	18	0
3	307	1000	0	27	2
4	0.543	5	0	7	2
5	34.8	200	3.91	20	2
6	71.3	400	0.742	35	0
7	0.235	4	0	9	0
8	0.355	10	0	11	0
9	0.00848	1	0	0	0
10	0.044	1	0	1	0
11	3.5	40	0	14	2
12	1.67	20	0	14	0
13	59.1	500	0.044	23	2
14	18.4	100	0	25	0
15	1.76	20	0	15	0
16	79.4	400	3.5	36	0
17	330	1000	3.05	28	2
18	3.6	4	3.5	4	1
19	3.05	100	0	15	1
20	0.126	4	0	5	1
21	53.3	1000	0.112	23	1
22	1.33	10	0	10	1
23	330	1000	2.47	29	2
24	3.76	100	0	16	1
25	10.9	100	0	18	2
26	0.665	10	0	9	2
27	0.324	4	0	4	2
28	0.102	2	0	2	2
29	2.76	20	0	17	0
30	0.414	4	0	6	1
31	476	1000	330	41	0
32	18.1	400	0.493	20	1
33	0.00153	1	0	0	1
34	0.449	4	0	7	1
35	11.3	200	0	18	1
36	2.47	20	0	16	0
37	46.2	500	0	22	2
38	146	1000	0	40	0
39	62.9	200	0	30	0
40	1.04	10	0	10	2
41	357	1000	65.7	26	2
42	0.387	4	0	5	2
43	1.71	10	0	11	1
44	31.2	500	0	21	1
45	39.1	500	0	22	1
46	30.1	200	18.4	19	1
47	4.29	100	0.387	17	1
48	1.66	20	0	13	0
49	1.33	10	0	12	2
50	0.00778	1	0	0	2
51	184	500	46.2	39	0
52	26.3	200	1.71	19	2
53	0.499	1	0.449	2	0
54	0.116	2	0	5	0
55	0.149	4	0	7	0
56	5.27	50	0	20	0
57	134	500	0	38	0
58	68.6	200	4.79	31	0
59	0.0754	1	0	3	0
60	7.35	50	0	16	2
61	150	1000	0	42	0
62	24	100	0	26	0
63	2.09	40	0	12	1
64	62.9	1000	3.5	24	1
65	12.7	100	0	24	0
66	0.242	5	0	10	0
67	3.5	5	2.76	9	1
68	4.79	40	0	15	2
69	37.2	40	34.8	13	1
70	0.00884	1	0	1	1
71	34.2	200	0	21	2
72	7.91	50	0	17	2
73	289	1000	0	25	2
74	0.181	4	0	8	0
75	53.7	200	0	28	0
76	65.7	200	0	32	0
77	342	1000	0	30	2
78	65.9	200	0	33	0
79	0.047	2	0	3	1
80	0.74	4	0	8	1
81	0.0186	1	0	1	2
82	6.16	50	0	21	0
83	129	400	0	37	0
84	59	200	0	29	0
85	0.105	1	0	4	0
86	0.383	10	0	12	0
87	69.5	200	0	34	0
88	0.128	4	0	6	0
89	166	1000	0	43	0
90	3.18	40	0	19	0
91	12.5	100	0	23	0
92	0.64	5	0	8	2
93	188	1000	0	24	2
94	1.18	10	0.00884	11	2
95	0.514	4	0	6	2
96	2.45	50	0	14	1
97	31.2	100	4.29	27	0
98	12.5	100	0	22	0
99	0.0332	1	0	2	1
----------------------------------------
1481406363
task	R	T	Offset	priority	allocation
0	13.4	50	0	28	0
1	171	1000	0	44	0
2	182	1000	0	45	0
3	299	1000	0	46	0
4	0.00983	1	0	0	0
5	11.8	50	0	26	0
6	0.331	4	0	6	0
7	33.3	200	0.262	36	0
8	0.0247	1	0	1	0
9	34.3	200	0	37	0
10	1.2	20	0	17	0
11	0.349	4	0	7	0
12	0.398	5	0	8	0
13	5.37	40	0	18	0
14	0.045	2	0	2	0
15	470	1000	2.62	47	0
16	477	1000	0	48	0
17	9	40	0.0754	23	0
18	1.24	2	1.2	1	1
19	0.251	4	0	5	1
20	9.37	40	0	24	0
21	0.287	4	0	5	2
22	1.94	40	0	13	2
23	1.87	40	0	11	1
24	29.7	200	0	34	0
25	0.027	2	0	1	2
26	4.81	100	0	16	2
27	0.64	5	0	11	0
28	11.3	40	0	25	0
29	0.0543	2	0	3	0
30	0.747	20	0	10	1
31	12.6	50	0	27	0
32	0.685	5	0	12	0
33	157	1000	0	43	0
34	0.289	5	0	7	1
35	120	1000	9.37	25	1
36	1.42	10	0.747	10	2
37	35.5	200	0	38	0
38	67.5	200	36.4	35	0
39	91.5	500	0	21	2
40	2.52	40	0	12	1
41	8.39	100	0	15	1
42	0.701	10	0	13	0
43	0.809	2	0.701	2	1
44	0.77	10	0	11	2
45	0.053	2	0	2	2
46	0.413	4	0	6	2
47	0.108	2	0	4	0
48	0.00364	1	0	0	1
49	9.25	10	8.39	12	2
50	37.9	400	0.053	22	1
51	17.9	100	0.336	31	0
52	0.124	2	0	3	1
53	19.2	200	0	17	2
54	0.0729	2	0	3	2
55	3.33	50	0	13	1
56	33	400	0	19	2
57	0.815	10	0	15	0
58	1.09	20	0	16	0
59	71.5	1000	0	42	0
60	15	100	0	30	0
61	13.2	400	0	19	1
62	0.603	10	0	9	2
63	36.4	400	0	21	1
64	7.08	50	0	14	1
65	25.8	200	0.251	32	0
66	28.7	200	0	33	0
67	2.32	50	0	14	2
68	251	1000	12.3	23	2
69	7.04	40	0	20	0
70	0.262	4	0	6	1
71	0.804	10	0	14	0
72	2.62	100	0	15	2
73	7.79	40	0	22	0
74	0.434	5	0	9	0
75	6.19	40	0	19	0
76	11.5	100	0	16	1
77	12.3	200	0	17	1
78	0.336	5	0	8	1
79	67.6	500	0	20	2
80	0.0148	1	0	0	2
81	0.139	2	0	5	0
82	14.3	50	0	29	0
83	295	1000	0	24	2
84	110	1000	0	22	2
85	0.456	10	0	8	2
86	7.59	40	0	21	0
87	62	500	0	23	1
88	63.6	1000	0	24	1
89	63.2	400	0	40	0
90	1.02	2	0.804	4	1
91	68.8	500	0	41	0
92	0.442	5	0	10	0
93	0.465	10	0	9	1
94	12.7	200	0	18	1
