1481406354
task	R	T	Offset	priority	allocation
97	51.6	400	0	19	2
98	0.512	5	0	8	2
99	57.6	400	0	20	2
----------------------------------------
1481406401
task	R	T	Offset	priority	allocation
0	0.152	5	0	4	2
1	0.317	10	0	5	2
2	0.531	10	0	6	2
3	0.554	1	0.531	0	0
4	31.7	500	0.051	13	2
5	5.41	50	0.317	22	0
6	0.835	10	0	12	0
7	99.4	500	0	30	0
8	115	500	0	31	0
9	38.2	50	31.7	23	0
10	0.0122	1	0	0	1
11	0.222	4	0	6	0
12	0.247	1	0.222	0	2
13	0.0348	1	0	1	0
14	0.875	2	0.835	2	2
15	0.608	20	0	10	1
16	56.6	400	0	28	1
17	0.0337	1	0	1	1
18	1.01	4	0.875	6	1
19	425	500	291	32	0
20	0.355	1	0.317	2	0
21	53.8	200	16.9	26	0
22	7.39	100	0	24	0
23	11.5	100	0	20	1
24	27.7	200	0.28	25	1
25	0.395	4	0	8	0
26	0.28	4	0	7	0
27	49.9	400	0	28	0
28	36	200	0.43	26	1
29	118	500	0	34	1
30	36.2	500	0.28	14	2
31	12.6	100	0.28	21	1
32	2.74	20	0	17	0
33	301	1000	27.7	37	0
34	88.8	400	0	31	1
35	9.65	50	0	17	1
36	10.2	50	0	18	1
37	352	1000	2.32	42	1
38	89.2	400	0.835	30	1
39	84.4	400	10.2	29	0
40	1.16	20	0	12	1
41	142	400	49.9	32	1
42	261	500	12.4	35	0
43	3.38	40	0.04	14	1
44	0.0951	2	0	3	2
45	4.89	40	0	15	1
46	35.2	200	0	25	0
47	0.936	40	0	8	2
48	3.65	40	0	19	0
49	0.0406	1	0	2	1
50	1.22	2	1.16	5	0
51	288	1000	0.0249	41	1
52	0.0567	1	0	3	1
53	3.92	10	3.65	8	1
54	0.533	5	0	11	0
55	4.73	50	0	20	0
56	0.0426	1	0	3	0
57	147	500	0	33	0
58	4.74	50	0	21	0
59	1.05	50	0	9	2
60	46	1000	4.89	15	2
61	13.3	100	0	22	1
62	21.8	100	7.39	23	1
63	0.43	4	0	9	0
64	270	1000	0.531	36	0
65	0.657	10	0	7	2
66	0.103	2	0	5	1
67	250	1000	0	40	1
68	15.4	50	4.74	19	1
69	3.13	200	0	11	2
70	39.4	200	0	27	1
71	1.72	10	0	13	0
72	60.4	1000	4.89	16	2
73	39.4	400	0	27	0
74	5.37	40	0	16	1
75	172	500	46	35	1
76	0.297	10	0	9	1
77	96.8	400	0	33	1
78	69.3	400	0.0426	29	1
79	83.9	400	69.3	12	2
80	150	500	4.73	36	1
81	0.528	4	0	10	0
82	2.32	100	0	10	2
83	16.6	200	0	24	1
84	1.74	10	0	14	0
85	3.11	20	0	18	0
86	2.21	10	0	15	0
87	0.0344	1	0	1	2
88	151	500	4.73	37	1
89	2.67	10	0	16	0
90	160	500	0	38	1
91	315	1000	250	17	2
92	0.0491	1	0	4	0
93	195	500	0	34	0
94	0.0858	1	0	4	1
95	114	1000	16.6	18	2
96	0.177	4	0	7	1
97	2.88	20	0	13	1
98	1.24	20	0.531	11	1
99	178	500	7.39	39	1
----------------------------------------
1481406403
task	R	T	Offset	priority	allocation
0	98.7	400	0	34	0
1	0.405	4	0	10	0
2	19.8	200	4.92	27	0
3	0.0719	1	0	0	0
4	10.3	100	1.54	25	0
5	2.3	10	0	10	2
6	4.63	40	0.405	18	2
7	2.65	20	0	15	2
8	65.1	1000	0.212	22	2
9	43	200	19.8	28	1
10	6.09	40	0.656	20	1
11	0.832	5	0	15	0
12	1.95	50	0	22	0
13	0.232	2	0	7	0
14	0.483	5	0	5	2
15	0.0778	2	0	3	1
16	0.459	4	0	11	0
17	1.19	10	0	19	0
18	0.029	1	0	0	1
19	37.4	200	7.52	28	0
20	2.47	50	0	23	0
21	1.98	2	1.95	3	2
22	0.107	1	0	1	0
23	0.841	5	0	16	0
24	8.28	50	0.00737	24	1
25	0.242	4	0	7	1
26	1.74	40	0	16	1
27	3.11	40	0	17	1
28	0.257	4	0	8	1
29	5.59	40	0	21	1
30	10.9	20	10.3	12	1
31	1.35	20	0.109	14	1
32	3.52	40	0	18	1
33	96.7	400	1.74	33	0
34	25.6	200	0	29	1
35	0.291	5	0	9	1
36	5.52	10	3.11	11	2
37	0.0326	1	0	1	1
38	128	1000	0	38	1
39	0.99	20	0	13	1
40	1.33	2	0.99	8	0
41	0.997	1	0.99	0	2
42	29.7	200	0	31	1
43	1.38	20	0	15	1
44	167	200	128	29	0
45	33.1	200	0	32	1
46	234	1000	167	23	2
47	0.0932	2	0	4	1
48	0.147	1	0	3	0
49	0.174	4	0	4	2
50	34.4	200	0	33	1
51	172	1000	29.7	36	0
52	4.65	100	0	19	2
53	2.44	10	0	12	2
54	7.32	400	0	20	2
55	55.9	400	0	30	0
56	0.384	4	0	9	0
57	11.9	100	0	26	0
58	4.27	40	0	19	1
59	0.132	2	0	5	1
60	1.51	10	0	20	0
61	0.164	1	0	4	0
62	71.8	500	0	36	1
63	0.0384	1	0	2	1
64	1.84	4	1.38	12	0
65	66.8	400	0	31	0
66	0.212	2	0	6	0
67	0.0227	1	0	1	2
68	94.8	500	0.483	37	1
69	0.556	10	0	11	1
70	7.52	50	0	23	1
71	16.5	100	0.577	26	1
72	0.551	5	0	6	2
73	0.577	4	0	13	0
74	13.3	50	0	25	1
75	2.88	40	0	16	2
76	3.12	40	0	17	2
77	2.56	20	0	14	2
78	0.656	4	0	14	0
79	35	200	0	34	1
80	0.221	2	0	6	1
81	0.763	5	0	7	2
82	0.94	5	0	18	0
83	0.109	1	0	2	0
84	15.9	100	0	27	1
85	3.4	10	0.841	13	2
86	139	500	0	35	0
87	0.917	5	0	17	0
88	4.75	5	3.52	8	2
89	2.68	50	0	24	0
90	1.54	20	0	21	0
91	8.53	40	1.23	22	1
92	1.54	10	0	9	2
93	26.6	200	0	30	1
94	0.0235	1	0	2	2
95	90.7	400	19.8	35	1
96	58.4	1000	0.291	21	2
97	0.53	10	0	10	1
98	0.176	1	0	5	0
99	87.2	400	0	32	0
----------------------------------------
1481406405
task	R	T	Offset	priority	allocation
0	3.37	20	0	14	0
1	14.3	100	0	22	0
2	26.5	200	0	26	0
3	3.62	50	0	17	0
4	33.9	200	0.441	27	0
5	1.75	10	0	11	0
6	0.525	10	0	9	2
7	0.405	5	0	8	0
8	175	1000	0	36	0
9	182	200	175	17	2
10	0.00107	1	0	0	0
11	0.759	10	0	10	2
12	1.81	2	1.75	1	2
13	173	1000	0.287	35	0
14	0.0913	2	0	2	2
15	0.409	5	0	7	2
16	4.92	50	0	18	0
17	0.0424	2	0	2	0
18	0.0667	2	0	3	0
19	0.122	2	0	4	0
20	0.00429	1	0	0	1
21	0.497	10	0	10	0
22	17.2	200	0	19	2
23	0.21	4	0	4	2
24	38.5	400	0.0913	29	0
25	27.6	200	0	20	2
26	89.3	500	0	24	2
27	3.38	20	0	15	0
28	37.9	400	0.21	28	0
29	0.399	5	0	4	1
30	0.749	20	0	10	1
31	222	1000	34.2	37	0
32	3.6	40	0.00429	16	0
33	5.45	50	0	19	0
34	104	500	6.44	31	0
35	9.21	50	0	20	0
36	0.00863	1	0	0	2
37	111	500	0	26	2
38	129	1000	1.75	28	2
39	119	500	0	27	2
40	0.768	10	0	11	2
41	1.8	10	0	12	0
42	14.9	100	0	23	0
43	34.2	200	0	21	2
44	0.486	5	0	5	1
45	52	100	27.6	24	0
46	2.25	20	0	13	0
47	0.854	20	0	11	1
48	7.28	100	0	19	1
49	3.56	20	0	13	2
50	153	1000	24.7	29	2
51	0.266	4	0	5	2
52	148	1000	0	34	0
53	13.4	50	0.0292	21	0
54	7.59	200	0	18	2
55	4.69	50	0	15	2
56	255	1000	111	27	1
57	4.33	20	0	14	2
58	5.65	50	0.405	16	2
59	2.85	40	0	16	1
60	171	1000	0	28	1
61	0.625	10	0	8	1
62	0.0508	2	0	2	1
63	91.9	500	0	30	0
64	275	1000	0	38	0
65	340	1000	0	39	0
66	48.8	500	0.0424	23	1
67	99.2	500	0	32	0
68	280	1000	91.9	29	1
69	0.524	10	0	7	1
70	23.7	500	0.272	22	1
71	0.124	2	0	3	2
72	0.441	5	0	8	2
73	78.3	400	0	23	2
74	0.441	5	0	9	0
75	2.6	40	0	14	1
76	116	1000	0	26	1
77	6.26	100	0	17	1
78	0.509	10	0	6	1
79	51.5	500	0	24	1
80	0.385	4	0	7	0
81	0.913	20	0	12	1
82	0.792	1	0.768	1	0
83	183	500	91.9	25	2
84	25.1	200	0.266	25	0
85	10.7	400	0	21	1
86	9.51	200	0	20	1
87	0.16	4	0	3	1
88	67.2	500	0	25	1
89	0.0292	1	0	1	1
90	0.189	2	0	5	0
91	35.8	200	0	22	2
92	0.802	10	0	12	2
93	0.287	4	0	6	2
94	1.09	20	0	13	1
95	6.44	100	0	18	1
96	2.77	40	0	15	1
97	0.726	10	0	9	1
98	138	1000	0	33	0
99	0.272	4	0	6	0
----------------------------------------
1481406407
task	R	T	Offset	priority	allocation
0	0.207	4	0	4	1
1	29.6	400	0	21	1
2	2.77	50	0	15	1
3	0.0297	1	0	0	0
4	28.5	200	0	20	1
5	12.6	200	0	18	1
6	283	1000	28.5	42	0
7	0.446	4	0	5	1
8	35.5	400	0	23	1
9	2.39	40	0	13	1
10	0.0381	1	0	1	0
11	2.62	20	0	22	0
12	0.0794	1	0	2	0
13	17.9	200	0	19	1
14	6.52	100	0.29	17	1
15	0.29	5	0	10	0
16	0.127	2	0	5	0
17	0.883	10	0	18	0
18	0.0412	1	0	0	1
19	0.363	5	0	11	0
20	48.7	400	0	25	1
21	53.3	200	35.5	14	2
22	35.8	400	0.246	24	1
23	0.458	5	0	7	1
24	0.0298	1	0	0	2
25	0.0848	1	0	3	0
26	0.393	5	0	12	0
27	32.9	400	0.034	22	1
28	0.0957	1	0	4	0
29	3.24	50	0	26	0
30	7.17	100	0	29	0
31	0.276	5	0	6	2
32	0.179	4	0	8	0
33	0.239	4	0	4	2
34	0.246	4	0	5	2
35	125	1000	0	28	1
36	16.1	100	7.17	12	2
37	0.646	10	0	15	0
38	19.4	200	0	34	0
39	65.6	500	0	38	0
40	0.696	10	0	16	0
41	1.15	10	0	19	0
42	266	1000	0	30	1
43	339	1000	0	44	0
44	0.942	2	0.883	2	1
45	41.3	100	32.9	31	0
46	0.0647	2	0	2	2
47	196	1000	0	29	1
48	3.52	50	0	27	0
49	1.42	20	0	11	1
50	57.5	500	0	19	2
51	139	500	0	40	0
52	0.553	5	0	13	0
53	36.6	400	0	37	0
54	0.127	2	0	6	0
55	0.874	20	0	8	2
56	116	500	41.3	20	2
57	1.21	10	0	20	0
58	5.54	50	0	16	1
59	1.15	50	0	9	2
60	367	1000	1.42	45	0
61	156	500	0	41	0
62	9.93	100	0.0589	32	0
63	393	1000	57.5	43	0
64	2.89	20	0	24	0
65	0.248	4	0	9	0
66	0.597	1	0.553	1	1
67	2.89	40	0	25	0
68	78.5	500	0	39	0
69	8.5	100	0.239	30	0
70	0.638	5	0	8	1
71	2.22	20	0	12	1
72	1.16	10	0	9	1
73	63.6	500	0	26	1
74	117	500	0	27	1
75	3.74	50	0	28	0
76	0.643	5	0	14	0
77	28.3	400	0	16	2
78	1.18	10	0	10	1
79	49.4	400	0	18	2
80	7.16	100	0	11	2
81	83.4	500	0	21	2
82	129	1000	3.24	22	2
83	0.483	10	0	7	2
84	2.66	20	0	23	0
85	18.4	200	0	33	0
86	2.68	40	0	14	1
87	15.9	200	0	13	2
88	1.37	100	0	10	2
89	30.5	400	0	17	2
90	0.455	4	0	6	1
91	22.5	200	0	15	2
92	8.71	10	7.16	21	0
93	25.6	200	0	35	0
94	0.0815	2	0	3	1
95	28.6	400	0	36	0
96	0.034	1	0	1	2
97	1.26	2	1.15	3	2
98	0.145	2	0	7	0
99	0.847	10	0	17	0
----------------------------------------
1481406408
task	R	T	Offset	priority	allocation
0	11.7	50	0	25	1
1	0.522	10	0	10	1
2	12.1	100	0.304	26	1
3	224	500	0.236	39	1
4	129	400	0.128	35	1
5	77.9	400	12.1	31	0
6	0.355	5	0	10	0
7	31.5	400	0.0784	32	1
8	41.4	100	31.5	23	0
9	0.0533	2	0	1	2
10	139	400	0.208	36	1
11	0.215	5	0	7	1
12	0.0784	1	0	0	0
13	0.36	1	0.355	0	1
14	0.208	4	0	4	2
15	0.321	10	0	8	2
16	0.602	10	0	13	0
17	0.138	2	0	4	0
18	1.9	20	0	15	0
19	90.7	500	0	32	0
20	141	1000	0	21	2
21	0.36	10	0	9	1
22	124	500	1.45	19	2
23	0.179	4	0	6	0
24	92.4	500	0	33	0
25	0.219	4	0	5	2
26	4.37	40	0	18	1
27	4.65	40	0	19	1
28	12.9	100	0	27	1
29	139	500	3.53	20	2
30	3.88	20	0	17	0
31	0.0273	2	0	3	1
32	0.284	5	0	8	0
33	0.272	2	0.179	2	2
34	0.144	2	0	5	0
35	3.53	20	0	16	0
36	0.0105	1	0	0	2
37	3.62	100	0	13	2
38	0.0946	1	0	1	0
39	114	400	0.0946	34	1
40	4.88	40	0	20	1
41	17.2	200	0	30	1
42	1.88	50	0	12	2
43	11.1	100	0	24	0
44	0.109	1	0	2	0
45	0.0347	2	0	4	1
46	124	500	0	34	0
47	0.527	5	0	11	0
48	0.707	10	0	14	0
49	0.249	4	0	7	0
50	13.7	100	0	25	0
51	15.2	100	0	28	1
52	8.56	100	0	22	0
53	17.5	200	0	27	0
54	4.3	40	0	19	0
55	0.0177	2	0	2	1
56	2.78	40	0	15	1
57	3.48	40	0	16	1
58	15.8	100	0	26	0
59	72.4	500	0	17	2
60	0.249	5	0	8	1
61	0.00783	1	0	1	1
62	0.753	20	0	12	1
63	23.9	200	0.419	31	1
64	1.45	20	0	13	1
65	7.87	20	3.62	18	0
66	8.57	10	7.87	11	1
67	15.8	100	0	29	1
68	287	1000	0	40	1
69	0.304	5	0	9	0
70	364	1000	72.4	41	1
71	0.233	5	0	6	2
72	39.2	400	0	30	0
73	8.41	50	0	21	0
74	1.12	50	0	11	2
75	0.236	10	0	7	2
76	9.51	50	0	23	1
77	31.5	400	0	29	0
78	52.7	400	5.76	16	2
79	0.419	10	0	9	2
80	0.142	2	0	3	2
81	5.76	40	0	21	1
82	0.036	4	0	5	1
83	6.52	50	0	20	0
84	2.34	20	0	14	1
85	0.537	5	0	12	0
86	77.1	400	0	33	1
87	3.74	40	0	17	1
88	174	500	0	38	1
89	150	1000	1.12	35	0
90	9.79	50	0.109	24	1
91	155	500	41.4	18	2
92	0.12	4	0	6	1
93	0.536	20	0	10	2
94	31	400	0	28	0
95	149	500	0	37	1
96	6.53	40	0	22	1
97	4.83	200	0	14	2
98	26.3	400	0	15	2
99	0.128	1	0	3	0
----------------------------------------
1481406409
task	R	T	Offset	priority	allocation
0	0.1	5	0	4	2
1	0.202	10	0	7	2
2	6.99	50	0	15	2
3	65.8	400	0	24	2
4	23.3	200	0.0913	20	2
5	0.392	10	0	8	2
6	83.7	400	7.82	25	2
7	0.808	10	0	11	0
8	13.1	200	0.644	18	1
9	0.783	20	0	10	2
10	2.64	40	0.202	13	1
11	0.325	5	0.202	5	0
12	5.94	40	0	14	2
13	123	1000	6.99	21	1
14	1.39	20	0	12	1
15	0.134	5	0	6	0
16	19	200	0.0542	19	2
17	90.8	1000	0	29	2
18	7.21	100	0	16	2
19	3.61	40	0	13	2
20	31.6	1000	0	20	1
21	0.0856	4	0	3	0
22	37.7	40	31.6	26	0
23	0.193	4	0	4	1
24	0.0542	2	0	2	0
25	0.138	5	0	7	0
26	3.69	20	0	21	0
27	34.4	200	0	34	0
28	0.241	4	0	5	1
29	0.228	5	0	8	0
30	0.888	20	0	11	2
31	8.28	50	0	28	0
32	0.59	10	0	10	0
33	1.98	20	0	18	0
34	3.77	4	3.69	3	2
35	91.2	400	3.69	27	2
36	0.954	10	0	12	0
37	279	1000	5.27	42	0
38	0.979	10	0	13	0
39	345	1000	0.155	44	0
40	13.4	100	0	31	0
41	145	1000	0	30	2
42	0.118	2	0	2	1
43	0.989	10	0	14	0
44	130	500	0	40	0
45	63.1	400	0.979	23	2
46	1.07	10	0	15	0
47	58	400	0.241	37	0
48	0.0188	1	0	0	0
49	0.296	5	0	7	1
50	56.9	400	0.202	36	0
51	4.48	40	0	24	0
52	5.49	40	0	25	0
53	0.838	20	0	10	1
54	1.35	20	0	11	1
55	0.0702	2	0	2	2
56	0.0207	1	0	0	1
57	0.115	5	0	5	2
58	335	1000	0	43	0
59	0.0947	4	0	4	0
60	123	500	31.6	39	0
61	16.4	100	0	17	2
62	9.93	50	0	29	0
63	4.13	20	0	22	0
64	13.2	50	0	30	0
65	148	200	91.2	35	0
66	0.000296	1	0	0	2
67	66.9	400	0.115	38	0
68	1.74	40	0	12	2
69	1.1	10	0	16	0
70	7.28	40	0.296	27	0
71	0.0473	1	0	1	0
72	38.5	200	1.07	21	2
73	78.3	400	1.1	26	2
74	55.4	100	38.5	33	0
75	0.644	10	0	9	2
76	176	1000	0	41	0
77	0.226	1	0.134	1	1
78	2.65	20	0	19	0
79	96.2	400	5.49	28	2
80	1.99	5	1.74	9	0
81	3.43	20	0	20	0
82	0.337	5	0	8	1
83	3.91	50	0	14	1
84	5.27	100	0	15	1
85	241	1000	123	22	1
86	15.9	200	0	19	1
87	1.12	10	0	17	0
88	5.65	100	0	16	1
89	0.156	5	0	6	2
90	0.00521	1	0	1	2
91	441	1000	176	31	2
92	7.18	200	0	17	1
93	13.5	100	0	32	0
94	4.39	20	0	23	0
95	0.264	4	0	6	1
96	112	200	58	22	2
97	0.136	2	0	3	1
98	0.459	10	0	9	1
99	17.5	200	0	18	2
----------------------------------------
1481406412
task	R	T	Offset	priority	allocation
0	0.172	4	0	7	0
1	0.272	4	0	8	0
2	3.44	40	0	20	0
3	267	1000	1.15	42	0
4	4.59	40	3.44	14	1
5	156	500	6.98	39	0
6	0.0102	1	0	0	0
7	3.49	40	0	15	1
8	118	500	0	37	0
9	3.71	40	0	16	1
10	0.0349	1	0	0	1
11	4.67	20	3.71	11	2
12	0.396	4	0	9	0
13	92.6	400	6.71	30	1
14	3.92	40	0	17	1
15	107	400	27.6	34	0
16	59	400	1.92	26	1
17	0.531	5	0	11	0
18	99.2	1000	0.272	31	1
19	66.4	400	0	27	1
20	0.797	5	0	12	0
21	5.3	40	0	16	2
22	6.89	50	0	23	0
23	0.262	4	0	6	1
24	41.5	200	13.8	24	1
25	5.83	20	3.92	16	0
26	77.5	400	0.368	29	1
27	9.23	100	0	25	0
28	28.6	200	0	30	0
29	31.8	200	0.0801	31	0
30	160	500	0	40	0
31	0.0243	1	0	0	2
32	0.336	5	0	8	1
33	2.62	20	0	17	0
34	4.79	50	0	18	1
35	0.579	10	0	10	1
36	14.2	400	0.0349	19	2
37	0.109	1	0	2	0
38	0.224	4	0	6	2
39	47.5	1000	0	21	2
40	0.112	1	0	3	0
41	0.408	4	0	10	0
42	98.6	1000	0	23	2
43	0.0703	1	0	1	0
44	0.326	4	0	7	1
45	9.75	100	2.77	20	1
46	0.496	5	0	8	2
47	52	200	0	25	1
48	0.147	4	0	6	0
49	2.84	20	0.145	18	0
50	0.0529	1	0	1	1
51	0.371	2	0.272	4	1
52	69.5	400	0	28	1
53	25.9	200	0.0575	29	0
54	0.0266	1	0	1	2
55	5.96	50	0	21	0
56	5.9	50	0.496	19	1
57	21.7	100	0	22	1
58	0.368	4	0	7	2
59	59.5	400	0	33	0
60	0.592	20	0	11	1
61	0.708	1	0.592	4	0
62	6.71	50	0	22	0
63	0.862	40	0	13	1
64	18.6	100	0	21	1
65	0.145	2	0	3	2
66	129	500	0	38	0
67	184	1000	0	41	0
68	0.877	1	0.797	2	1
69	0.915	5	0	13	0
70	9.41	100	0	26	0
71	1.26	5	0	14	0
72	29.2	50	21.7	18	2
73	0.75	20	0	12	1
74	0.502	5	0	9	1
75	0.199	4	0	5	2
76	3.51	40	0	13	2
77	25.4	200	0	23	1
78	19.4	500	0	20	2
79	5.48	50	0	17	2
80	98	400	0	35	0
81	0.501	5	0	9	2
82	116	400	0	36	0
83	119	1000	0.112	32	1
84	1.72	20	0	12	2
85	35	200	0	32	0
86	96.5	1000	5.96	22	2
87	0.105	2	0	5	1
88	3.7	40	0	14	2
89	13.4	100	0.145	27	0
90	1.67	10	0	15	0
91	13.8	100	0	28	0
92	0.0575	1	0	2	2
93	0.123	1	0	5	0
94	0.161	2	0	4	2
95	8.88	50	0	24	0
96	2.9	40	0	19	0
97	5.22	40	0	15	2
98	0.552	10	0	10	2
99	0.0887	1	0	3	1
----------------------------------------
1481406417
task	R	T	Offset	priority	allocation
0	83.6	400	5.29	34	1
1	0.396	4	0	6	0
2	192	1000	0.498	34	0
3	0.409	4	0	7	0
4	6.53	50	0	21	0
5	0.506	2	0.409	3	1
6	199	1000	4.97	42	1
7	12.3	100	0	21	1
8	1.69	20	0	14	1
9	0.444	2	0.409	3	2
10	4.97	40	0	19	0
11	73.8	400	0	31	0
12	0.744	10	0	11	0
13	309	1000	12.3	35	0
14	2.89	40	0	18	0
15	75.8	400	0	32	0
16	0.113	2	0	4	0
17	5.29	40	0	20	0
18	0.0089	1	0	0	0
19	6.71	20	4.97	15	1
20	297	1000	0	36	0
21	0.665	5	0	9	0
22	1.77	20	0	16	0
23	0.269	4	0	5	0
24	0.218	5	0	7	1
25	8.77	50	0	22	0
26	12.8	100	0	22	1
27	0.431	10	0	10	1
28	137	400	1.98	35	1
29	17.5	100	0	25	1
30	166	500	0	39	1
31	21.9	100	0.0089	26	1
32	64.9	400	0	33	1
33	156	500	0	38	1
34	26.2	100	0	25	0
35	68.5	200	0.665	29	0
36	72.7	200	0	30	0
37	0.0639	1	0	0	1
38	0.163	4	0	5	1
39	0.000414	1	0	0	2
40	0.577	10	0	11	1
41	63.8	200	0.0997	28	0
42	2.37	100	0	11	2
43	0.326	10	0	7	2
44	20.7	200	0	14	2
45	3.48	10	2.37	12	0
46	25.5	100	0	27	1
47	0.126	2	0	4	1
48	0.0416	1	0	1	0
49	199	1000	0	43	1
50	179	500	0.665	40	1
51	1.46	10	0	13	0
52	33.6	50	26.2	19	1
53	0.524	4	0	8	0
54	149	400	1.77	36	1
55	9.4	100	0	23	0
56	130	1000	0	33	0
57	18.7	100	0	24	0
58	273	1000	0.0351	44	1
59	29.6	200	0.000414	30	1
60	147	500	0	37	1
61	26.6	500	0	16	2
62	13.6	100	0	23	1
63	17.4	100	0	24	1
64	3.99	50	0	18	1
65	99.8	100	73.8	28	1
66	105	200	72.7	31	1
67	0.0643	1	0	1	1
68	0.616	10	0	12	1
69	3.24	40	0	16	1
70	0.00124	1	0	1	2
71	37.8	200	0	32	1
72	0.229	5	0	8	1
73	0.18	4	0	6	1
74	0.0522	2	0	4	2
75	83.1	200	20.7	27	0
76	0.673	40	0	9	2
77	3.41	40	0	17	1
78	193	500	0	41	1
79	269	1000	199	17	2
80	26.4	400	1.77	15	2
81	7.95	200	0	13	2
82	2.02	50	0.0416	10	2
83	0.143	5	0	6	2
84	90.3	100	63.8	29	1
85	2.15	20	0	17	0
86	0.0646	1	0	2	0
87	6.31	100	0	12	2
88	8.19	50	0	20	1
89	2.25	4	2.15	5	2
90	0.73	5	0	10	0
91	0.306	5	0	9	1
92	0.0897	1	0	2	1
93	1.43	20	0	13	1
94	1.71	20	0	15	0
95	1.5	10	0	14	0
96	60	200	0	26	0
97	0.665	20	0	8	2
98	0.00389	1	0	2	2
99	0.752	1	0.673	3	0
----------------------------------------
1481406419
task	R	T	Offset	priority	allocation
0	0.459	5	0	7	1
1	0.659	10	0	10	1
2	146	500	0	46	1
3	32.6	100	0	35	1
4	0.0596	2	0	3	1
5	54.8	200	1.32	40	1
6	108	400	49.2	42	1
7	21.9	100	10.3	27	1
8	49	200	21.9	25	0
9	0.587	5	0	8	1
10	10.5	400	7.69	10	2
11	49.3	50	32.6	21	0
12	0.135	4	0	5	1
13	33.6	100	0.143	36	1
14	138	500	40.3	45	1
15	32.5	200	0	26	0
16	49	500	27.8	13	2
17	170	1000	138	15	2
18	0.143	4	0	4	0
19	0.333	5	0	7	0
20	9.19	50	0	24	1
21	30.7	500	1.72	14	2
22	6.5	40	0	19	1
23	58.3	200	0	41	1
24	0.15	4	0	6	1
25	0.0989	2	0	4	1
26	1.72	10	0	11	0
27	0.00559	1	0	0	0
28	16.6	50	0	20	0
29	0.666	10	0	11	1
30	64.6	400	0	44	1
31	9.44	50	0	25	1
32	0.34	1	0.333	0	1
33	0.345	1	0.333	0	2
34	1.89	20	0	12	0
35	3.01	20	0.019	15	1
36	77.3	1000	6.5	16	2
37	0.757	10	0	12	1
38	2.52	20	0	14	1
39	142	1000	16.6	17	2
40	1.94	20	0	13	0
41	9.7	40	0.0167	17	0
42	32.7	100	0.301	34	1
43	18	100	0	22	0
44	97.6	1000	0	32	0
45	19.1	100	0	29	1
46	0.019	2	0	2	2
47	27.8	100	0	30	1
48	72.3	200	32.7	28	0
49	0.559	10	0	6	2
50	7.71	40	0.103	22	1
51	0.695	1	0.659	1	0
52	134	1000	1.94	18	2
53	39.4	200	0	27	0
54	39.9	400	32.5	11	2
55	43.4	50	32.5	26	1
56	98.5	200	39.9	29	0
57	6.78	40	0	20	1
58	0.449	5	0	8	0
59	36.5	100	0	37	1
60	0.035	2	0	3	2
61	0.0417	1	0	1	1
62	6.22	40	0	18	1
63	0.946	10	0	13	1
64	26.6	200	0	24	0
65	0.243	5	0	6	0
66	93.4	200	27.8	30	0
67	0.0428	1	0	2	1
68	13.7	100	0	28	1
69	0.829	40	0	7	2
70	3.34	20	0.019	14	0
71	31.3	100	0	31	1
72	0.48	5	0	9	0
73	1.32	10	0	10	0
74	0.604	5	0	9	1
75	0.103	4	0	4	2
76	0.301	5	0	5	2
77	0.0167	1	0	1	2
78	72.6	400	0	31	0
79	13.5	40	0	18	0
80	16.3	40	0	19	0
81	4.89	20	0	15	0
82	6.06	20	0.559	16	0
83	2.6	200	0	9	2
84	0.215	4	0	5	0
85	7.69	40	0	23	1
86	3.3	20	0	16	1
87	59.6	400	0	43	1
88	0.0545	2	0	3	0
89	157	1000	0	47	1
90	79.6	100	39.9	38	1
91	19.9	100	0	23	0
92	0.867	1	0.829	2	0
93	3.68	20	0	17	1
94	7.08	40	0	21	1
95	32.2	100	0	32	1
96	32.3	100	0	33	1
97	1.94	50	0	8	2
98	48.6	100	0	39	1
99	13.4	400	0.946	12	2
----------------------------------------
1481406420
task	R	T	Offset	priority	allocation
0	287	1000	0	35	0
1	2.13	40	0	8	0
2	0.00384	1	0	0	0
3	5.96	100	0	14	0
4	0.428	4	0	4	0
5	4.04	20	2.13	17	1
6	73.4	500	0	25	0
7	145	500	0.684	29	0
8	0.376	5	0	6	1
9	3.53	40	0	21	1
10	0.0113	1	0	0	1
11	56.4	100	27.4	27	1
12	240	500	155	35	1
13	246	1000	0.0221	33	0
14	0.0115	1	0	0	2
15	0.0221	1	0	1	1
16	0.38	5	0	7	1
17	85	1000	0.0221	22	2
18	0.471	5	0	9	1
19	83.6	500	56.4	19	2
20	27.8	200	0.909	22	0
21	0.118	2	0	3	1
22	65.6	100	27	29	1
23	388	500	240	30	0
24	279	1000	0	37	1
25	10.5	100	3.83	15	0
26	4.89	50	0	11	0
27	6.72	10	5.96	13	1
28	0.984	20	0	16	1
29	0.88	50	0	10	2
30	2.87	100	0	13	2
31	0.0577	1	0	2	0
32	5.47	10	4.89	8	2
33	0.464	5	0	8	1
34	160	500	6.41	31	0
35	6.41	50	0	23	1
36	0.893	10	0	14	1
37	0.0304	1	0	2	1
38	94	200	21.1	33	1
39	39.7	100	0.0577	30	1
40	311	1000	21.1	39	1
41	97.7	100	94	14	2
42	0.0358	2	0	2	2
43	0.0165	1	0	1	0
44	0.706	10	0	12	1
45	6.41	50	0	24	1
46	5.39	100	0	13	0
